job_title,grade,jurisdictional_classification,negotiating_unit,job_level,agency_description
Investigative Specialist 2 Cannabis,23,0.0,5.0,,"Cannabis Management, Office of"
Investigative Specialist 2 Financial Fraud,23,0.0,5.0,,"Financial Services, Department of"
Investigative Specialist 2 Law,23,0.0,5.0,,"Law, Department of"
Investigative Specialist 2 Medicaid,23,0.0,5.0,,Multiple Agencies
Investigative Specialist 2 Motor Vehicle,23,0.0,5.0,,"Motor Vehicles, Department of"
Investigative Specialist 2 Motor Vehicle Russian L,23,0.0,5.0,,"Motor Vehicles, Department of"
Investigative Specialist 2 Motor Vehicle SL,23,0.0,5.0,,"Motor Vehicles, Department of"
Investigative Specialist 2 Narcotics,23,0.0,5.0,,"Health, Department of"
Investigative Specialist 2 Professional Cndt,23,0.0,5.0,,Multiple Agencies
Investigative Specialist 3 Beverage Ctrl,25,0.0,5.0,,Alcoholic Beverage Control Board
Investigative Specialist 3 Cannabis,25,0.0,5.0,,"Cannabis Management, Office of"
Investigative Specialist 3 Financial Fraud,25,0.0,5.0,,"Financial Services, Department of"
Investigative Specialist 3 Law,25,0.0,5.0,,"Law, Department of"
Investigative Specialist 3 Medicaid,25,0.0,5.0,,"Medicaid Inspector General, Office of"
Investigative Specialist 3 Motor Vehicle,25,0.0,5.0,,"Motor Vehicles, Department of"
Investigative Specialist 3 Professional Cndt,25,0.0,5.0,,"Health, Department of"
Investigative Specialist 4 Cannabis,27,0.0,5.0,,"Cannabis Management, Office of"
Investigative Specialist 4 Law,27,0.0,5.0,,"Law, Department of"
Investigative Specialist 4 Medicaid,27,0.0,5.0,,"Medicaid Inspector General, Office of"
Investigative Specialist 4 Motor Vehicle,27,0.0,5.0,,"Motor Vehicles, Department of"
Investigative Specialist 4 Professional Cndt,27,0.0,5.0,,Multiple Agencies
Investigator 1,14,0.0,5.0,,Multiple Agencies
Investigator 1 Chinese Language,14,0.0,5.0,,"State, Department of"
Investigator 1 Korean Language,14,0.0,5.0,,"State, Department of"
Investigator 1 Spanish Language,14,0.0,5.0,,Multiple Agencies
Investigator 2,18,0.0,5.0,,Multiple Agencies
Investigator 2 Comp Claims,18,0.0,5.0,,State Insurance Fund
Investigator 2 License,18,0.0,5.0,,"State, Department of"
Investigator 2 Rent Administration,18,0.0,67.0,,"Housing & Comm Renewal, Div of"
Investigator 3,23,0.0,5.0,,Multiple Agencies
Investigator 3 Comp Claims,23,0.0,5.0,,State Insurance Fund
Investigator 3 License,23,0.0,5.0,,"State, Department of"
Investigator 4 Comp Claims,25,0.0,5.0,,State Insurance Fund
Investigator 4 License,25,0.0,5.0,,"State, Department of"
Investigator State Inspector Gen,NS,2.0,6.0,,"State Inspector General, Off of"
Investment Officer,61,0.0,6.0,,Multiple Agencies
Investment Systems Manager,62,1.0,6.0,,"Taxation and Finance, Dept of"
Janitor,7,1.0,3.0,,Multiple Agencies
Jobs Program Specialist,16,0.0,5.0,,"Temp&Disability Asst, Office of"
Junior Architect,15,0.0,5.0,,Multiple Agencies
Junior Landscape Architect,15,0.0,5.0,,Multiple Agencies
Junior Supt Construction,13,1.0,5.0,,Multiple Agencies
Labor Services Rep,16,0.0,5.0,,"Labor, Department of"
Labor Services Rep  Chinese Language,16,0.0,5.0,,"Labor, Department of"
Labor Services Rep Creole Language,16,0.0,5.0,,"Labor, Department of"
Labor Services Rep Disabled Vet Outrch,16,1.0,5.0,,"Labor, Department of"
Labor Services Rep Korean Language,16,0.0,5.0,,"Labor, Department of"
Labor Services Rep Local Vet Empl Re,16,0.0,5.0,,"Labor, Department of"
Labor Services Rep Polish Language,16,0.0,5.0,,"Labor, Department of"
Labor Services Rep Russian Language,16,0.0,5.0,,"Labor, Department of"
Labor Services Rep Spanish Language,16,0.0,5.0,,"Labor, Department of"
Laboratory Accreditation Specialist 1,18,1.0,5.0,,"Criminal Justice Services, Div of"
Laboratory Accreditation Specialist 2,23,1.0,5.0,,"Criminal Justice Services, Div of"
Laboratory Accreditation Specialist 3,27,1.0,5.0,,"Criminal Justice Services, Div of"
Laboratory Aide,6,1.0,4.0,,"SUNY-Admin,Coll+Univs"
Laboratory Animal Caretaker,5,1.0,4.0,,Multiple Agencies
Laboratory Cntr Admr,23,0.0,6.0,,"Health, Department of"
Laboratory Cntr Admr 1,61,0.0,6.0,,"Health, Department of"
Laboratory Cntr Admr 2,62,0.0,6.0,,"Health, Department of"
Laboratory Equipment Designer,17,1.0,5.0,,Multiple Agencies
Laboratory Equipment Designer Electronics,17,1.0,5.0,,Multiple Agencies
Laboratory Security Director,62,1.0,6.0,,"Health, Department of"
Laboratory Security Specialist,20,1.0,5.0,,"Health, Department of"
Laboratory Specialist 1,18,0.0,5.0,,"Health, Department of"
Laboratory Specialist 1 Marine,18,0.0,5.0,,"Environmental Conservation, Dept of"
Laboratory Specialist 2 Biology,23,0.0,5.0,,"Health, Department of"
Laboratory Specialist 2 Chemistry,23,0.0,5.0,,"Health, Department of"
Laboratory Specialist 2 Marine,23,0.0,5.0,,"Environmental Conservation, Dept of"
Laboratory Specialist 3,27,0.0,5.0,,"Health, Department of"
Laboratory Technician,9,0.0,4.0,,Multiple Agencies
Laboratory Worker,4,1.0,4.0,,Multiple Agencies
Lake George Marine Officer 1,NS,0.0,21.0,,Lake George Park Comm
Lake George Marine Officer 2,NS,0.0,21.0,,Lake George Park Comm
Land Surveyor Technician 1,13,0.0,2.0,,Multiple Agencies
Land Surveyor Technician 2,16,0.0,2.0,,Multiple Agencies
Landscape Architect,20,0.0,5.0,,Multiple Agencies
Latent Print Examiner 1,18,0.0,5.0,,"Criminal Justice Services, Div of"
Latent Print Examiner 2,23,0.0,5.0,,"Criminal Justice Services, Div of"
Latent Print Examiner 3,25,0.0,5.0,,"Criminal Justice Services, Div of"
Latent Print Laboratory Dir,27,1.0,5.0,,"Criminal Justice Services, Div of"
Launderer,5,1.0,4.0,,Multiple Agencies
Laundry Supvr,10,1.0,4.0,,Multiple Agencies
Law Dept Document Specialist,9,0.0,2.0,,"Law, Department of"
Legal Aide,NS,1.0,5.0,,Multiple Agencies
Legal Assistant 1 Spanish Language,14,0.0,2.0,,"Law, Department of"
Legal Assnt 1,14,0.0,2.0,,Multiple Agencies
Legal Assnt 2,17,0.0,5.0,,Multiple Agencies
Legislative Assnt,14,1.0,6.0,,Multiple Agencies
Legislative Coord,23,0.0,6.0,,Multiple Agencies
Legislative Liaison,NS,1.0,5.0,,Multiple Agencies
Library Aide,1,3.0,2.0,,"SUNY-Admin,Coll+Univs"
Library Clerk 2,9,0.0,2.0,,Multiple Agencies
Library Clerk 3,14,0.0,2.0,,Multiple Agencies
Library Development Specialist 1,24,0.0,5.0,,"Education, Dept of"
Library Development Specialist 2,27,0.0,5.0,,"Education, Dept of"
Library Development Specialist 2 Conservation,27,0.0,5.0,,"Education, Dept of"
Library Technical Assnt,12,0.0,2.0,,"Education, Dept of"
Licensed Master Social Worker 1,18,0.0,5.0,,Multiple Agencies
Licensed Master Social Worker 1 Chinese Language,18,0.0,5.0,,OMH-M/O+Facs
Licensed Master Social Worker 1 Korean Language,18,0.0,5.0,,Creedmoor Psych Center
Licensed Master Social Worker 1 Spanish Language,18,0.0,5.0,,Multiple Agencies
Licensed Master Social Worker 2,20,0.0,5.0,,Multiple Agencies
Licensed Master Social Worker 2 Chinese Language,20,0.0,5.0,,OMH-M/O+Facs
Licensed Master Social Worker 2 Korean Language,20,0.0,5.0,,Creedmoor Psych Center
Licensed Master Social Worker 2 Manual Comnctns,20,0.0,5.0,,Rockland Psych Center
Licensed Master Social Worker 2 Spanish Language,20,0.0,5.0,,Multiple Agencies
Licensed Mental Health Counselor,19,0.0,5.0,,Multiple Agencies
Licensed Practical Nurse,10,0.0,4.0,,Multiple Agencies
Licensed Psychologist,25,0.0,5.0,,Multiple Agencies
Licensed Psychologist Chinese Language,25,0.0,5.0,,NYC Childrens Center
Licensed Psychologist Spanish Language,25,0.0,5.0,,OMH-M/O+Facs
Licensed Respiratory Therapist 1,12,0.0,4.0,,Multiple Agencies
Licensed Respiratory Therapist 2,15,0.0,4.0,,Helen Hayes Hospital
Licensed Respiratory Therapist 3,20,0.0,5.0,,Helen Hayes Hospital
Licensing Examiner 3,18,0.0,5.0,,Alcoholic Beverage Control Board
Licensing Examiner 4,23,0.0,5.0,,Alcoholic Beverage Control Board
Licensing Services Clerk,9,0.0,2.0,,Multiple Agencies
Lieutenant Park Police,20,0.0,31.0,,Parks+Recreation-M/O+Reg Comms
Lifeguard,5,1.0,68.0,,Multiple Agencies
Local Government Specialist 1,18,0.0,5.0,,"State, Department of"
Local Government Specialist 2,23,0.0,5.0,,"State, Department of"
Local Government Specialist 3,27,0.0,5.0,,"State, Department of"
Long Term Care Advocacy Asstnce Specialist 1,18,0.0,5.0,,"Aging, Office for the"
Long Term Care Advocacy Asstnce Specialist 2,23,0.0,5.0,,"Aging, Office for the"
Long Term Care Systems Specialist 1,18,0.0,5.0,,"Aging, Office for the"
Long Term Care Systems Specialist 1 Health,18,0.0,5.0,,"Health, Department of"
Long Term Care Systems Specialist 2,23,0.0,5.0,,"Aging, Office for the"
Long Term Care Systems Specialist 2 Health,23,0.0,5.0,,"Health, Department of"
Long Term Care Systems Specialist 3,25,0.0,5.0,,"Aging, Office for the"
Long Term Care Systems Specialist 3 Health,25,0.0,5.0,,"Health, Department of"
Lottery Advertising Supvr,25,0.0,5.0,,NYS Gaming Commission
Lottery Advertising Supvr Digital,25,1.0,5.0,,NYS Gaming Commission
Lottery Drawing Assnt,NS,1.0,5.0,,NYS Gaming Commission
Lottery Marketing Rep 1,16,0.0,2.0,,NYS Gaming Commission
Lottery Marketing Rep 1 Chinese Language,16,0.0,2.0,,NYS Gaming Commission
Lottery Marketing Rep 1 Spanish Language,16,0.0,2.0,,NYS Gaming Commission
Lottery Marketing Specialist,18,0.0,5.0,,NYS Gaming Commission
Lottery Regional Dir 1,62,0.0,6.0,,NYS Gaming Commission
Lottery Regional Dir 2,64,0.0,6.0,,NYS Gaming Commission
Lottery Regional Manager 1,61,0.0,6.0,,NYS Gaming Commission
Lottery Research & Program Development Specialist,62,0.0,6.0,,NYS Gaming Commission
Lottery Studio Aide,NS,0.0,2.0,,NYS Gaming Commission
Lottery Supvg Research Specialist,23,0.0,5.0,,NYS Gaming Commission
Lottery Upstate Dir,63,0.0,6.0,,NYS Gaming Commission
Lottery Video Product Manager,62,0.0,6.0,,NYS Gaming Commission
Maintenance Assnt,9,1.0,3.0,,Multiple Agencies
Maintenance Assnt Carpenter,9,1.0,3.0,,Multiple Agencies
Maintenance Assnt Electrician,9,1.0,3.0,,Multiple Agencies
Maintenance Assnt Locksmith,9,1.0,3.0,,Multiple Agencies
Maintenance Assnt Machinist,9,1.0,3.0,,"Binghamton, State University at"
Maintenance Assnt Marine,NS,1.0,23.0,,Canal Corporation
Maintenance Assnt Mason & Plasterer,9,1.0,3.0,,Multiple Agencies
Maintenance Assnt Painter,9,1.0,3.0,,Multiple Agencies
Maintenance Assnt Parks,9,1.0,3.0,,"Environmental Conservation, Dept of"
Maintenance Assnt Plumber & Steamfitter,9,1.0,3.0,,Multiple Agencies
Maintenance Assnt Roofer & Tinsmith,9,1.0,3.0,,Multiple Agencies
Maintenance Assnt Sign Fabrication,9,1.0,3.0,,Multiple Agencies
Maintenance Supvr 1,14,1.0,3.0,,Multiple Agencies
Maintenance Supvr 1 Building,NS,0.0,12.0,,Thruway Authority
Maintenance Supvr 1 Electronic Equipment,14,0.0,3.0,,Multiple Agencies
Maintenance Supvr 1 Fish Hatchery,14,1.0,3.0,,"Environmental Conservation, Dept of"
Maintenance Supvr 1 Motor Equipment,14,0.0,3.0,,Multiple Agencies
Maintenance Supvr 1 Toll Equipment,NS,0.0,12.0,,Thruway Authority
Maintenance Supvr 2,17,0.0,5.0,,Multiple Agencies
Maintenance Supvr 2 Bridge,NS,0.0,15.0,,Bridge Authority
Maintenance Supvr 2 Building,NS,0.0,12.0,,Thruway Authority
Maintenance Supvr 2 Motor Equipment,17,0.0,3.0,,Multiple Agencies
Maintenance Supvr 2 Toll Equipment,NS,0.0,12.0,,Multiple Agencies
Maintenance Supvr 3,19,0.0,5.0,,Multiple Agencies
Maintenance Supvr 3 Bridge,NS,0.0,12.0,,Multiple Agencies
Maintenance Supvr 3 Motor Equipment,19,0.0,5.0,,Multiple Agencies
Maintenance Supvr 3 Toll Equipment,NS,0.0,12.0,,Thruway Authority
Maintenance Supvr 3 Transportation,19,0.0,5.0,,Transportation - M/O+Regs
Maintenance Supvr 4,21,0.0,5.0,,Multiple Agencies
Major Environmental Conservation,25,0.0,31.0,,"Environmental Conservation, Dept of"
Major Park Police,62,0.0,6.0,,Parks+Recreation-M/O+Reg Comms
Management Specialist 1,18,0.0,5.0,,Multiple Agencies
Management Specialist 1 Spanish Language,18,0.0,5.0,,"Temp&Disability Asst, Office of"
Management Specialist 2,23,0.0,5.0,,"Temp&Disability Asst, Office of"
Management Specialist 3,27,0.0,5.0,,Multiple Agencies
Management Specialist 4,64,0.0,6.0,,"Temp&Disability Asst, Office of"
Manager Building Standards & Codes,27,0.0,5.0,,"State, Department of"
Manager Classification & Compensation,64,0.0,6.0,,"Civil Service, Department of"
Manager Commission Operations,64,0.0,6.0,,"Civil Service, Department of"
Manager Curatorial & Visitor Services,25,1.0,5.0,,"General Services, Office of"
Manager Diversity & Inclusion,64,0.0,6.0,,"Civil Service, Department of"
Manager Educl & Voc Srvs Coordn 1,62,0.0,6.0,,"Education, Dept of"
Manager Educl & Voc Srvs Coordn 2,63,0.0,6.0,,"Education, Dept of"
Manager Educl & Voc Srvs Coordn 3,64,0.0,6.0,,"Education, Dept of"
Manager Equal Opportunity Compliance,NS,2.0,6.0,,"Employee Relations, Office of"
Manager Forensic Multimedia Services,62,1.0,6.0,,"State Police, Division of"
Manager Information Technology Services 1,27,0.0,5.0,,Multiple Agencies
Manager Information Technology Services 1 Data C,27,0.0,5.0,,Multiple Agencies
Manager Information Technology Services 1 Datab,27,0.0,5.0,,Multiple Agencies
Manager Information Technology Services 1 Info Sec,27,6.0,5.0,,Multiple Agencies
Manager Information Technology Services 1 Oper,27,0.0,5.0,,Multiple Agencies
Manager Information Technology Services 1 Sys Prgm,27,0.0,5.0,,Multiple Agencies
Manager Information Technology Services 1 Technicl,27,0.0,5.0,,Multiple Agencies
Manager Information Technology Services 2,29,0.0,5.0,,Multiple Agencies
Manager Information Technology Services 2 Info Sec,29,6.0,5.0,,Multiple Agencies
Manager Information Technology Services 2 Technicl,29,0.0,5.0,,Multiple Agencies
Manager Lottery Drawings,62,1.0,6.0,,NYS Gaming Commission
Manager Lottery Games Operations,64,0.0,6.0,,NYS Gaming Commission
Manager Lottery Retail Operations,62,0.0,6.0,,NYS Gaming Commission
Manager Municipal Assistance,64,0.0,6.0,,"Civil Service, Department of"
Manager Staffing Services,64,0.0,6.0,,"Civil Service, Department of"
Manager Testing Services,64,0.0,6.0,,"Civil Service, Department of"
Manager Testing Services Psychometrician,64,1.0,6.0,,"Civil Service, Department of"
Managing Editor N Y State Conservationist,61,0.0,6.0,,"Environmental Conservation, Dept of"
Manufacturing Engineering Specialist,23,0.0,5.0,,"Corrections and Community Supervision, Dept of"
Mapping Technician 3,16,0.0,5.0,,Multiple Agencies
Mapping Technologist 1,17,0.0,5.0,,Multiple Agencies
Mapping Technologist 2,20,0.0,5.0,,Multiple Agencies
Mapping Technologist 3,24,0.0,5.0,,Multiple Agencies
Mapping Technologist 4,27,0.0,5.0,,"Transportation, Department of"
Marine Engineer,NS,1.0,23.0,,Canal Corporation
Marine Services Manager,61,0.0,6.0,,"P&R Parks and Rec, Office of"
Marine Srvs Rep,18,0.0,5.0,,"P&R Parks and Rec, Office of"
Materials Testing Specialist 1,19,0.0,5.0,,Multiple Agencies
Materials Testing Specialist 2,23,0.0,5.0,,Multiple Agencies
Medicaid Eligibility Examiner 1,9,0.0,2.0,,Health - M/O+Facs
Medicaid Eligibility Examiner 1 Spanish Language,9,0.0,2.0,,"Health, Department of"
Medicaid Eligibility Examiner 2,14,0.0,2.0,,"Health, Department of"
Medicaid Eligibility Examiner 2 Spanish Language,14,0.0,2.0,,"Health, Department of"
Medicaid Eligibility Examiner 3,17,0.0,5.0,,"Health, Department of"
Medicaid Eligibility Examiner 4,21,0.0,5.0,,"Health, Department of"
Medicaid Integrity Specialist 1,18,0.0,5.0,,"Medicaid Inspector General, Office of"
Medicaid Integrity Specialist 1 Financial Analysis,18,0.0,5.0,,"Medicaid Inspector General, Office of"
Medicaid Integrity Specialist 2,23,0.0,5.0,,"Medicaid Inspector General, Office of"
Medicaid Integrity Specialist 2 Financial Analysis,23,0.0,5.0,,"Medicaid Inspector General, Office of"
Medicaid Integrity Specialist 3,27,0.0,5.0,,"Medicaid Inspector General, Office of"
Medicaid Integrity Specialist 3 Financial Analysis,27,0.0,5.0,,"Medicaid Inspector General, Office of"
Medicaid Integrity Specialist 4,64,0.0,6.0,,"Medicaid Inspector General, Office of"
Medicaid Integrity Specialist 4 Financial Analysis,64,0.0,6.0,,"Medicaid Inspector General, Office of"
Medicaid Redesign Analyst 1,18,0.0,5.0,,"Health, Department of"
Medicaid Redesign Analyst 2,23,0.0,5.0,,"Health, Department of"
Medicaid Redesign Analyst 3,27,0.0,5.0,,"Health, Department of"
Medicaid Redesign Analyst 4,29,0.0,5.0,,"Health, Department of"
Medical Assnt,8,0.0,4.0,,Multiple Agencies
Medical Asstnce Specialist 1,18,0.0,5.0,,"Health, Department of"
Medical Asstnce Specialist 2,23,0.0,5.0,,"Health, Department of"
Medical Asstnce Specialist 3,27,0.0,5.0,,Multiple Agencies
Medical Asstnce Specialist 4,64,0.0,6.0,,"Health, Department of"
Medical Laboratory Technician 1,9,0.0,4.0,,Multiple Agencies
Medical Laboratory Technician 2,12,0.0,4.0,,Multiple Agencies
Medical Physicist,27,1.0,5.0,,"Health, Department of"
Medical Social Worker A,15,0.0,5.0,,Health - M/O+Facs
Medical Social Worker B,18,0.0,5.0,,Veterans Home At Oxford
Medical Specialist 1,35,0.0,5.0,,Multiple Agencies
Medical Specialist 2,38,0.0,5.0,,Multiple Agencies
Medical Specialist 3,68,0.0,6.0,,Multiple Agencies
Medical Technologist 1,14,0.0,5.0,,Multiple Agencies
Medical Technologist 2,18,0.0,5.0,,Multiple Agencies
Mental Health Financing Program Manager,65,0.0,6.0,,"Mental Health, Office of"
Mental Health Program Manager 1,64,1.0,6.0,,"Mental Health, Office of"
Mental Health Program Manager 2,66,1.0,6.0,,"Mental Health, Office of"
Mental Health Program Specialist 1,18,0.0,5.0,,"Mental Health, Office of"
Mental Health Program Specialist 2,23,0.0,5.0,,"Mental Health, Office of"
Mental Health Program Specialist 2 Clinical,23,0.0,5.0,,"Mental Health, Office of"
Mental Health Program Specialist 2 DOCCS,23,0.0,5.0,,"Corrections and Community Supervision, Dept of"
Mental Health Program Specialist 3,25,0.0,5.0,,"Mental Health, Office of"
Mental Health Program Specialist 3 Clinical,61,0.0,6.0,,"Mental Health, Office of"
Mental Health Program Specialist 4,27,0.0,5.0,,"Mental Health, Office of"
Mental Health Program Specialist 5,63,0.0,6.0,,"Mental Health, Office of"
Mental Health Rehab Program Dir 1,62,0.0,6.0,,OMH-M/O+Facs
Mental Health Rehab Program Dir 2,65,0.0,6.0,,OMH-M/O+Facs
Mental Health Therapy Aide,9,0.0,4.0,,Multiple Agencies
Mental Health Therapy Aide Chinese Language,9,0.0,4.0,,OMH-M/O+Facs
Mental Health Therapy Aide Korean Language,9,0.0,4.0,,OMH-M/O+Facs
Mental Health Therapy Aide Manual Communications,9,0.0,4.0,,OMH-M/O+Facs
Mental Health Therapy Aide Russian Language,9,0.0,4.0,,Manhattan Psych Center
Mental Health Therapy Aide Spanish Language,9,0.0,4.0,,OMH-M/O+Facs
Mental Hygiene Program Evaluation Specialist 2,18,0.0,5.0,,Multiple Agencies
Mental Hygiene Program Evaluation Specialist 3,23,0.0,5.0,,Multiple Agencies
Mental Hygiene Program Evaluation Specialist 4,27,0.0,5.0,,Multiple Agencies
Mental Hygiene Staff Dev Spec 1,11,0.0,5.0,,Multiple Agencies
Mental Hygiene Staff Dev Spec 2,14,0.0,5.0,,Multiple Agencies
Mental Hygiene Therapy Assnt 1,12,0.0,4.0,,OMH-M/O+Facs
Mental Hygiene Therapy Assnt 1 Spanish Language,12,0.0,4.0,,OMH-M/O+Facs
Mental Hygiene Therapy Assnt 2,13,0.0,4.0,,OMH-M/O+Facs
Mental Hygiene Therapy Assnt 2 Spanish Language,13,0.0,4.0,,OMH-M/O+Facs
Mined Land Reclamation Specialist 1,18,0.0,5.0,,"Environmental Conservation, Dept of"
Mined Land Reclamation Specialist 2,23,0.0,5.0,,"Environmental Conservation, Dept of"
Mined Land Reclamation Specialist 3,27,0.0,5.0,,"Environmental Conservation, Dept of"
Mineral Resources Specialist 1,15,0.0,5.0,,"Environmental Conservation, Dept of"
Mineral Resources Specialist 2,20,0.0,5.0,,"Environmental Conservation, Dept of"
Mineral Resources Specialist 3,24,0.0,5.0,,"Environmental Conservation, Dept of"
Mineral Resources Specialist 4,27,0.0,5.0,,"Environmental Conservation, Dept of"
Mineral Resources Specialist 5,64,0.0,6.0,,"Environmental Conservation, Dept of"
Mineral Resources Technician 1,14,0.0,5.0,,"Environmental Conservation, Dept of"
Mineral Resources Technician 2,19,0.0,5.0,,"Environmental Conservation, Dept of"
Ministerial Program Coord,23,1.0,6.0,,"Corrections and Community Supervision, Dept of"
Minority Business Enterprise Liaison Spec 4,62,1.0,6.0,,"General Services, Office of"
Minority Business Spec 1,18,0.0,5.0,,Multiple Agencies
Minority Business Spec 2,23,1.0,5.0,,Multiple Agencies
Mobility Instructor,18,0.0,5.0,,Multiple Agencies
Motor Carrier Investigator,15,0.0,2.0,,"Transportation, Department of"
Motor Equipment Manager 1,61,0.0,6.0,,Multiple Agencies
Motor Equipment Manager 2,62,0.0,6.0,,"Transportation, Department of"
Motor Equipment Specialist,18,0.0,5.0,,"Transportation, Department of"
Motor Equipment Storeskeeper,14,0.0,3.0,,Transportation - M/O+Regs
Motor Vehicle Consumer Services Rep 1,11,0.0,2.0,,"Motor Vehicles, Department of"
Motor Vehicle Consumer Services Rep 1 Spanish Lang,11,0.0,2.0,,"Motor Vehicles, Department of"
Motor Vehicle Consumer Services Rep 2,14,0.0,2.0,,"Motor Vehicles, Department of"
Motor Vehicle Consumer Services Rep 3,18,0.0,5.0,,"Motor Vehicles, Department of"
Motor Vehicle Field Operations Spec 1,18,0.0,5.0,,"Motor Vehicles, Department of"
Motor Vehicle Field Operations Spec 2,23,0.0,5.0,,"Motor Vehicles, Department of"
Motor Vehicle Inspector,14,0.0,5.0,,"Transportation, Department of"
Motor Vehicle Inspector Spanish Language,14,0.0,5.0,,"Transportation, Department of"
Motor Vehicle License Examiner,12,0.0,2.0,,"Motor Vehicles, Department of"
Motor Vehicle Office Manager,23,0.0,6.0,,"Motor Vehicles, Department of"
Motor Vehicle Operator,7,1.0,3.0,,Multiple Agencies
Motor Vehicle Program Manager 1,61,0.0,6.0,,"Motor Vehicles, Department of"
Motor Vehicle Program Manager 2,62,0.0,6.0,,"Motor Vehicles, Department of"
Motor Vehicle Program Manager 3,63,0.0,6.0,,"Motor Vehicles, Department of"
Motor Vehicle Program Manager 4,64,0.0,6.0,,"Motor Vehicles, Department of"
Motor Vehicle Program Manager 5,65,0.0,6.0,,"Motor Vehicles, Department of"
Motor Vehicle Program Manager 6,66,0.0,6.0,,"Motor Vehicles, Department of"
Motor Vehicle Referee,25,0.0,5.0,,"Motor Vehicles, Department of"
Motor Vehicle Referee Spanish Language,25,0.0,5.0,,"Motor Vehicles, Department of"
Motor Vehicle Representative 1,9,0.0,2.0,,"Motor Vehicles, Department of"
Motor Vehicle Representative 1 Chinese Language,9,0.0,2.0,,"Motor Vehicles, Department of"
Motor Vehicle Representative 1 Creole Language,9,0.0,2.0,,"Motor Vehicles, Department of"
Motor Vehicle Representative 1 Italian Language,9,0.0,2.0,,"Motor Vehicles, Department of"
Motor Vehicle Representative 1 Korean Language,9,0.0,2.0,,"Motor Vehicles, Department of"
Motor Vehicle Representative 1 Manual Communctns,9,0.0,2.0,,"Motor Vehicles, Department of"
Motor Vehicle Representative 1 Russian Language,9,0.0,2.0,,"Motor Vehicles, Department of"
Motor Vehicle Representative 1 Spanish Language,9,0.0,2.0,,"Motor Vehicles, Department of"
Motor Vehicle Representative 2,11,0.0,2.0,,"Motor Vehicles, Department of"
Motorized Scow Operator,NS,1.0,23.0,,Canal Corporation
Multimedia Production Program Manager,25,0.0,5.0,,Multiple Agencies
Multimedia Production Program Specialist 1,18,0.0,5.0,,Multiple Agencies
Multimedia Production Program Specialist 2,23,0.0,5.0,,Multiple Agencies
Multimedia Production Representative 1,18,1.0,5.0,,Multiple Agencies
Multimedia Production Representative 2,23,1.0,5.0,,Multiple Agencies
Multimedia Production Representative 3,25,1.0,5.0,,Multiple Agencies
Multimedia Production Technician,15,1.0,5.0,,Multiple Agencies
Museum Exhibit Specialist 1,15,1.0,3.0,,Multiple Agencies
Museum Exhibit Specialist 1 Audiovisual,15,1.0,3.0,,"Education, Dept of"
Museum Exhibit Specialist 1 Graphic Design,15,1.0,3.0,,Multiple Agencies
Museum Exhibit Specialist 1 Preparation and Fabric,15,1.0,3.0,,"Education, Dept of"
Museum Exhibit Specialist 2,17,1.0,3.0,,Multiple Agencies
Museum Exhibit Specialist Imaging,15,1.0,3.0,,"Education, Dept of"
Museum Instructor,14,0.0,5.0,,"Education, Dept of"
Museum Scientist 1,18,1.0,5.0,,"Education, Dept of"
Museum Scientist 2,22,1.0,5.0,,"Education, Dept of"
Museum Scientist 3,25,1.0,5.0,,"Education, Dept of"
Museum Scientist 4,27,1.0,5.0,,"Education, Dept of"
Museum Scientist 5,29,1.0,5.0,,"Education, Dept of"
Museum Scientist 6,64,1.0,6.0,,"Education, Dept of"
Museum Security Specialist,20,0.0,5.0,,"P&R Parks and Rec, Office of"
Museum Support Services Specialist 1,14,0.0,5.0,,"Education, Dept of"
Museum Support Services Specialist 2,18,0.0,5.0,,"Education, Dept of"
Native American Affairs Specialist,61,1.0,6.0,,"Children&Family Svcs, Off of"
Navigation Manager,NS,0.0,25.0,,Canal Corporation
Network Program Admr,18,0.0,5.0,,Corrections - M/O+Facs
Nurse Practitioner Acute Care,24,0.0,5.0,,Veterans Home at NYC
Nurse Practitioner Adult Health,24,0.0,5.0,,Multiple Agencies
Nurse Practitioner Community Health,24,0.0,5.0,,Multiple Agencies
Nurse Practitioner Family Health,24,0.0,5.0,,Multiple Agencies
Nurse Practitioner Psychiatry,24,0.0,5.0,,Multiple Agencies
Nurse Practitioner Psychiatry Spanish Language,24,0.0,5.0,,OMH-M/O+Facs
Nursing Assnt 1,6,1.0,4.0,,Multiple Agencies
Nursing Assnt 2,8,1.0,4.0,,Multiple Agencies
Nursing Assnt Certified,8,1.0,4.0,,Multiple Agencies
Nursing Home Activities Assnt 1,11,0.0,4.0,,Multiple Agencies
Nursing Home Activities Assnt 2,14,0.0,4.0,,Multiple Agencies
Nursing Station Clerk 1,7,0.0,2.0,,Multiple Agencies
Nutrition Program Manager 1,27,0.0,5.0,,"Health, Department of"
Nutrition Program Manager 2,29,0.0,5.0,,"Health, Department of"
Nutrition Services Admr 1,20,0.0,5.0,,Multiple Agencies
Nutrition Services Admr 2,23,0.0,5.0,,Multiple Agencies
Occupl Analyst,21,0.0,5.0,,"Labor, Department of"
Occupl Therapist,16,0.0,5.0,,Bronx Psych Center
Occupl Therapy Assnt 1,11,0.0,5.0,,Multiple Agencies
Occupl Therapy Assnt 2,14,0.0,5.0,,Multiple Agencies
Ocean & Lakes Policy Analyst 1,23,0.0,5.0,,"State, Department of"
